table_schema,table_name,column_name,data_type,is_nullable,column_default
public,airport,id,uuid,NO,gen_random_uuid()
public,airport,airport_code,varchar(20),NO,null
public,airport,passenger_count,integer,YES,1
public,airport,special_requests,text,YES,null
public,airport,base_price,"numeric(10,2)",YES,0
public,airport,created_at,timestamp with time zone,YES,now()
public,airport,updated_at,timestamp with time zone,YES,now()
public,airport_price,airport_code,text,NO,null
public,airport_price,airport_category,text,NO,null
public,airport_price,airport_route,text,NO,null
public,airport_price,airport_car_type,text,NO,null
public,airport_price,price,"numeric(0,0)",NO,null
public,car,id,uuid,NO,gen_random_uuid()
public,car,base_price,"numeric(0,0)",YES,null
public,car,created_at,timestamp with time zone,YES,now()
public,car,updated_at,timestamp with time zone,YES,now()
public,car,car_code,varchar,YES,null
public,car,special_requests,text,YES,null
public,car,car_count,integer,YES,1
public,car_price,car_code,text,NO,null
public,car_price,car_category,text,YES,null
public,car_price,cruise,text,YES,null
public,car_price,car_type,text,YES,null
public,car_price,price,"numeric(0,0)",YES,null
public,car_price,schedule,text,YES,null
public,car_price,passenger_count,text,YES,null
public,hotel,id,uuid,NO,gen_random_uuid()
public,hotel,hotel_code,varchar(255),NO,null
public,hotel,special_requests,text,YES,null
public,hotel,base_price,"numeric(10,2)",YES,0
public,hotel,created_at,timestamp with time zone,YES,now()
public,hotel,updated_at,timestamp with time zone,YES,now()
public,hotel,checkin_date,date,YES,null
public,hotel,checkout_date,date,YES,null
public,hotel_price,hotel_code,text,NO,null
public,hotel_price,hotel_name,text,NO,null
public,hotel_price,room_name,text,NO,null
public,hotel_price,room_type,text,YES,null
public,hotel_price,price,"numeric(0,0)",YES,null
public,hotel_price,start_date,date,YES,null
public,hotel_price,end_date,date,YES,null
public,hotel_price,weekday_type,text,YES,null
public,payment_info,code,text,NO,null
public,payment_info,name,text,NO,null
public,quote,id,uuid,NO,gen_random_uuid()
public,quote,user_id,uuid,NO,null
public,quote,status,varchar(20),YES,'draft'::character varying
public,quote,title,varchar(255),YES,null
public,quote,description,text,YES,null
public,quote,total_price,"numeric(10,2)",YES,0
public,quote,created_at,timestamp with time zone,YES,now()
public,quote,updated_at,timestamp with time zone,YES,now()
public,quote,submitted_at,timestamp with time zone,YES,null
public,quote,approved_at,timestamp with time zone,YES,null
public,quote,manager_note,text,YES,null
public,quote,payment_status,text,NO,'pending'::text
public,quote,confirmed_at,timestamp with time zone,YES,null
public,quote_item,id,uuid,NO,gen_random_uuid()
public,quote_item,quote_id,uuid,NO,null
public,quote_item,service_type,varchar(20),NO,null
public,quote_item,service_ref_id,uuid,NO,null
public,quote_item,quantity,integer,YES,1
public,quote_item,unit_price,"numeric(10,2)",YES,0
public,quote_item,total_price,"numeric(10,2)",YES,0
public,quote_item,options,jsonb,YES,null
public,quote_item,created_at,timestamp with time zone,YES,now()
public,quote_item,updated_at,timestamp with time zone,YES,now()
public,quote_item,usage_date,date,YES,null
public,rent_price,rent_code,text,NO,null
public,rent_price,rent_type,text,YES,null
public,rent_price,rent_category,text,YES,null
public,rent_price,rent_route,text,YES,null
public,rent_price,rent_car_type,text,YES,null
public,rent_price,price,"numeric(0,0)",YES,null
public,rentcar,id,uuid,NO,gen_random_uuid()
public,rentcar,rentcar_code,varchar(100),NO,null
public,rentcar,special_requests,text,YES,null
public,rentcar,base_price,"numeric(10,2)",YES,0
public,rentcar,created_at,timestamp with time zone,YES,now()
public,rentcar,updated_at,timestamp with time zone,YES,now()
